FID,Longitude,Latitude,Mean_HF,Median_HF,MEAN_Annual_Temp,Therm_Cond__W_per_m_K,Z85_Med_HF_km,Z122_Med_HF_km,Z85_Mean_HF_km,Z122_Mean_HF_km,rechargeDepth,Descriptio,rechargeVolume,grid_area_m2,crustTypeFull,crustType,crustTypeMin1,crustScheme2,combined_cv,combined_cr,rechargeShort
2399,78.75,37,59,59,4.65,2.5,3.404661017,4.972457627,3.404661017,4.972457627,shallow,shallow_<100_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2398,76.25,37,59,53.6199989,-0.555555556,2.5,3.988976003,5.714078612,3.625235405,5.193032015,shallow,shallow_<100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2397,73.75,37,86,86,-2.05,2.5,2.530523256,3.606104651,2.530523256,3.606104651,shallow,shallow_<100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2396,71.25,37,102,102,1.7,2.5,2.041666667,2.948529412,2.041666667,2.948529412,complex,complex_20-100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex low
2395,68.75,37,49.4700012,52.25,14.15,2.5,3.389952153,5.160287081,3.580452713,5.45027276,major,major_<2_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen major,major low
2394,66.25,37,83.0100021,82.75,15.5,2.5,2.099697885,3.217522659,2.093121258,3.207444805,major,major_<2_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen major,major low
2393,63.75,37,58,58,15.25,2.5,3.006465517,4.601293103,3.006465517,4.601293103,shallow,shallow_<100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2392,61.25,37,54,54,15.75,2.5,3.206018519,4.918981481,3.206018519,4.918981481,shallow,shallow_<100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2391,58.75,37,26.25,25.5,11.65,2.5,7.191176471,10.81862745,6.985714286,10.50952381,major,major_2-20_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen major,major low
2390,56.25,37,62.6699982,59.8600006,12.9,2.5,3.011192753,4.55646504,2.876176882,4.352162244,complex,complex_<20_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex low
2389,53.75,37,39.25,38,15.6,2.5,4.565789474,7,4.420382166,6.777070064,major,major_20-100_mm/a,low,49367358851,Y3,Continental_shelf/slope,Intermediate_continental/oceanic_crust,Extended_Crust,Extended_Crust low,Extended_Crust major,major low
2388,51.25,37,68.4000015,55.3400002,12.4,2.5,3.279725322,4.95121068,2.653508714,4.005847865,major,major_20-100_mm/a,low,49367358851,Y3,Continental_shelf/slope,Intermediate_continental/oceanic_crust,Extended_Crust,Extended_Crust low,Extended_Crust major,major low
2387,48.75,37,68.4899979,67.3300018,10.05263158,2.5,2.782837012,4.156667363,2.735704874,4.086267041,complex,complex_20-100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex low
2386,46.25,37,62.2999992,62.3699989,9.25,2.5,3.03631559,4.519400432,3.039727166,4.524478389,complex,complex_20-100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex low
2385,43.75,37,43,43,12.89473684,2.5,4.192166463,6.343329253,4.192166463,6.343329253,complex,complex_20-100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex low
2384,41.25,37,58.1699982,51.5,16.6,2.5,3.32038835,5.116504854,2.939659709,4.529826511,complex,complex_20-100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex low
2383,38.75,37,69.6100006,70.75,16.15,2.5,2.432862191,3.740282686,2.47270505,3.801537103,complex,complex_20-100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex low
2382,36.25,37,74.7799988,59.5,14.52631579,2.5,2.961079169,4.515701017,2.356033877,3.592995652,complex,complex_100-300_mm/a,high,49367358851,R2,orogen,orogen,orogen,orogen,orogen complex,complex high
