no. of analyses,Year,Lat oN,N,"""N",Long oE,E,"""E",Lat oN,Long oE,Min. Depth (mbls.),Max. Depth (mbls.),Depth_in_m,cells_per_g_or_mL,S.D. (cells/gram or cells/mL),Method,Method_Details,MethodCM,Portion_of_Biomass,T (oC),pH,Eh,Salinity (M),Ionic Strength (M),TOC or SOC  (ppm),DOC (ppm),NH4 or N (ppm),NO3 (ppm),porosity (%),,conductivity (m/sec),Biomass Correlation?,Most Abundance Isolates or Phyla,gas concentrations,Locality,Sample_Type,Sample_Type_Full,Rock_Type,rock color,Formation,Formation age,Citation,,rechargeFull,rechargeType,rechargeVolume,crustTypeFull,crustTypeCompleteInfo
1,1983,30,35.56,,-87,-14.73,,31.056,-93.21,,,3.7,1600000,5.10E+05,AODC,,direct,total,20,4.1,,,,200,,,,,,,,,,,core,core,sand,,,,Ghiorse and Balkwill 1983,,major 100-300 mm/a,major,high,D-,Craton
1,1983,30,35.56,,-87,-14.73,,31.056,-93.21,,,5.5,2200000,8.00E+05,AODC,,direct,total,20,4.1,,,,190,,,,,,,,,,,core,core,sand,,,,Ghiorse and Balkwill 1983,,major 100-300 mm/a,major,high,D-,Craton
1,1983,30,35.56,,-87,-14.73,,31.056,-93.21,,,6.7,2700000,2.80E+06,AODC,,direct,total,20,4.2,,,,150,,,,,,,,,,,core,core,sand,,,,Ghiorse and Balkwill 1983,,major 100-300 mm/a,major,high,D-,Craton
1,1983,30,35.56,,-87,-14.73,,31.056,-93.21,,,1.2,15000000,3.00E+06,AODC,,direct,total,20,4.1,,,,530,,,,,,,,,,,core,core,sand,,,,Ghiorse and Balkwill 1983,,major 100-300 mm/a,major,high,D-,Craton
1,1983,30,35.56,,-87,-14.73,,31.056,-93.21,,,5.1,8900000,7.60E+06,AODC,,direct,total,20,4.9,,,,160,,,,,,,,,,,core,core,sand,,,,Ghiorse and Balkwill 1983,,major 100-300 mm/a,major,high,D-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.06,225000000,,PLFA,9.00E+03,PLFA,bacteria,19,5.3,440,,,,,,,,,,depth,,,,core,core,soil,,Alabama,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.25,25000000,,PLFA,6.00E+03,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.4,10000000,,PLFA,1.00E+03,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.5,5000000,,PLFA,4.00E+02,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.7,9500000,,PLFA,2.00E+02,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.8,9500000,,PLFA,3.80E+02,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1,2000000,,PLFA,8.00E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.2,375000,,PLFA,1.50E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.3,75000,,PLFA,3.00E+00,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.4,375000,,PLFA,1.50E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.6,250000,,PLFA,1.00E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,1.7,100000,,PLFA,4.00E+00,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,2,175000,,PLFA,7.00E+00,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.06,275000000,,PLFA,1.10E+04,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.25,25000000,,PLFA,4.00E+03,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.4,10000000,,PLFA,1.00E+03,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.5,2500000,,PLFA,4.00E+02,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.7,425000,,PLFA,1.00E+02,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
1,1986,30,35.56,,-87,-14.73,,30.5927,-87.2455,,,0.8,425000,,PLFA,1.70E+01,PLFA,bacteria,19,5.3,440,,,,,,,,,,,,,,core,core,soil,,,,Federle et al. Ground Water 1986,,major 100-300 mm/a,major,high,E-,Craton
