x,similarity,locality,primer
1977.090527,0.008363826,different regions,different primers
1977.246899,0.011434511,different regions,different primers
1977.246899,0.011422638,different regions,different primers
1977.246899,0.009249743,different regions,different primers
1977.246899,0.011428571,different regions,different primers
1977.090527,0.02244898,different regions,different primers
1977.090527,0.013312852,different regions,different primers
1977.090527,0.010341262,different regions,different primers
1977.246899,0.015243902,different regions,different primers
1977.246899,0.015345269,different regions,different primers
1977.246899,0.029145729,different regions,different primers
1977.246899,0.018404908,different regions,different primers
0.294,0.071494893,FennoScandian Shield,different primers
0.366,0.054982818,FennoScandian Shield,different primers
0.119,0.558759831,FennoScandian Shield,v6
0.157,0.575212557,FennoScandian Shield,v6
0.095,0.608941037,FennoScandian Shield,v6
0.008,0.66310953,FennoScandian Shield,v6
0.068,0.577959956,FennoScandian Shield,v6
0.383,0.619012528,FennoScandian Shield,v6
0.144,0.585748792,FennoScandian Shield,v6
0.075,0.2954516,FennoScandian Shield,v6
0.278,0.264128957,FennoScandian Shield,v6
0.01,0.611749882,FennoScandian Shield,v6
0.087,0.556799473,FennoScandian Shield,v6
8437.426088,0.024711697,different regions,different primers
8437.426088,0.041716615,different regions,different primers
8437.426088,0.035473395,different regions,different primers
8437.426088,0.038575668,different regions,different primers
8437.426088,0.047561854,different regions,different primers
8437.426088,0.039748428,different regions,different primers
8437.426088,0.059039301,different regions,different primers
8437.426088,0.067001675,different regions,different primers
8437.426088,0.031876607,different regions,different primers
7168.368635,0.00179051,different regions,different primers
7580.591277,0.044830485,different regions,different primers
7580.591277,0.048106165,different regions,different primers
7580.591277,0.033860045,different regions,different primers
7580.591277,0.039777247,different regions,different primers
7580.591277,0.021801492,different regions,different primers
7580.591277,0.021782746,different regions,different primers
9929.14603,0.508835135,different regions,v6
9929.14603,0.496789972,different regions,v6
9731.079829,0.574378832,different regions,v6
9934.233625,0.558375635,different regions,v6
9900.272406,0.576556366,different regions,v6
9554.223656,0.619351183,different regions,v6
9730.357717,0.625498644,different regions,v6
1977.090527,0.006461087,different regions,different primers
1977.090527,0.004730928,different regions,different primers
1977.090527,0.005892752,different regions,different primers
1977.246899,0.00763583,different regions,different primers
1977.246899,0.008805401,different regions,different primers
1977.246899,0.008170411,different regions,different primers
1977.246899,0.007633588,different regions,different primers
1977.090527,0.012786981,different regions,different primers
1977.090527,0.013977868,different regions,different primers
1977.090527,0.008784773,different regions,different primers
1977.246899,0.015076834,different regions,different primers
1977.246899,0.011641444,different regions,different primers
1977.246899,0.017286085,different regions,different primers
1977.246899,0.012801862,different regions,different primers
0.016,0.051719395,FennoScandian Shield,different primers
0.088,0.036384309,FennoScandian Shield,different primers
0.109,0.581959491,FennoScandian Shield,v6
0.167,0.600514139,FennoScandian Shield,v6
0.105,0.59516429,FennoScandian Shield,v6
0.018,0.600371172,FennoScandian Shield,v6
0.058,0.580666447,FennoScandian Shield,v6
0.393,0.59901599,FennoScandian Shield,v6
0.154,0.6372379,FennoScandian Shield,v6
0.065,0.288327058,FennoScandian Shield,v6
0.288,0.253492194,FennoScandian Shield,v6
0.01,0.611749882,FennoScandian Shield,v6
0.077,0.582081823,FennoScandian Shield,v6
8437.426088,0.022017257,different regions,different primers
8437.426088,0.043701799,different regions,different primers
8437.426088,0.038151531,different regions,different primers
8437.426088,0.044113739,different regions,different primers
8437.426088,0.055126224,different regions,different primers
8437.426088,0.047103411,different regions,different primers
8437.426088,0.065025716,different regions,different primers
8437.426088,0.072772016,different regions,different primers
8437.426088,0.039900249,different regions,different primers
7168.368635,0.001954397,different regions,different primers
7580.591277,0.045620438,different regions,different primers
7580.591277,0.043764988,different regions,different primers
7580.591277,0.03616304,different regions,different primers
7580.591277,0.038395415,different regions,different primers
7580.591277,0.021840874,different regions,different primers
7580.591277,0.021197007,different regions,different primers
9929.14603,0.536770007,different regions,v6
9929.14603,0.529627855,different regions,v6
9731.079829,0.564137232,different regions,v6
9934.233625,0.61551665,different regions,v6
9900.272406,0.574222741,different regions,v6
9554.223656,0.57657126,different regions,v6
9730.357717,0.577681256,different regions,v6
1977.090527,0.009603073,different regions,different primers
1977.090527,0.007739439,different regions,different primers
1977.090527,0.01092194,different regions,different primers
1977.246899,0.010243278,different regions,different primers
1977.246899,0.010236724,different regions,different primers
1977.246899,0.01207883,different regions,different primers
1977.246899,0.01152,different regions,different primers
1977.090527,0.017721519,different regions,different primers
1977.090527,0.015857913,different regions,different primers
1977.090527,0.01212508,different regions,different primers
1977.246899,0.017045455,different regions,different primers
1977.246899,0.015213946,different regions,different primers
1977.246899,0.020062696,different regions,different primers
1977.246899,0.015842839,different regions,different primers
0.006,0.049493143,FennoScandian Shield,different primers
0.078,0.034599938,FennoScandian Shield,different primers
0.032,0.523061945,FennoScandian Shield,v6
0.244,0.632733813,FennoScandian Shield,v6
0.182,0.575360207,FennoScandian Shield,v6
0.095,0.576966564,FennoScandian Shield,v6
0.019,0.557456368,FennoScandian Shield,v6
0.47,0.547760475,FennoScandian Shield,v6
0.231,0.591957811,FennoScandian Shield,v6
0.012,0.262533166,FennoScandian Shield,v6
0.365,0.235575876,FennoScandian Shield,v6
0.087,0.556799473,FennoScandian Shield,v6
0.077,0.582081823,FennoScandian Shield,v6
8437.426088,0.022683085,different regions,different primers
8437.426088,0.035408022,different regions,different primers
8437.426088,0.031911807,different regions,different primers
8437.426088,0.042431193,different regions,different primers
8437.426088,0.052675353,different regions,different primers
8437.426088,0.044457444,different regions,different primers
8437.426088,0.059585993,different regions,different primers
8437.426088,0.064647211,different regions,different primers
8437.426088,0.035992801,different regions,different primers
7168.368635,0.002862254,different regions,different primers
7580.591277,0.032525722,different regions,different primers
7580.591277,0.03658935,different regions,different primers
7580.591277,0.032797858,different regions,different primers
7580.591277,0.033592535,different regions,different primers
7580.591277,0.020477816,different regions,different primers
7580.591277,0.017047392,different regions,different primers
9929.14603,0.601934383,different regions,v6
9929.14603,0.601069161,different regions,v6
9731.079829,0.552995392,different regions,v6
9934.233625,0.575391821,different regions,v6
9900.272406,0.568126521,different regions,v6
9554.223656,0.565585115,different regions,v6
9730.357717,0.551917352,different regions,v6
1977.090527,0.006318006,different regions,different primers
1977.090527,0.005661713,different regions,different primers
1977.090527,0.006342495,different regions,different primers
1977.246899,0.009126009,different regions,different primers
1977.246899,0.009119607,different regions,different primers
1977.246899,0.009056078,different regions,different primers
1977.246899,0.007017544,different regions,different primers
1977.090527,0.011091854,different regions,different primers
1977.090527,0.009728978,different regions,different primers
1977.090527,0.008394544,different regions,different primers
1977.246899,0.01244383,different regions,different primers
1977.246899,0.011805556,different regions,different primers
1977.246899,0.014408233,different regions,different primers
1977.246899,0.013189865,different regions,different primers
0.071,0.045469308,FennoScandian Shield,different primers
0.001,0.028359217,FennoScandian Shield,different primers
8437.426088,0.017286085,different regions,different primers
8437.426088,0.021099744,different regions,different primers
8437.426088,0.01975968,different regions,different primers
8437.426088,0.022878425,different regions,different primers
8437.426088,0.020864382,different regions,different primers
8437.426088,0.017908875,different regions,different primers
8437.426088,0.02530253,different regions,different primers
8437.426088,0.025375344,different regions,different primers
8437.426088,0.027764924,different regions,different primers
8437.426088,0.024711697,different regions,different primers
8437.426088,0.022017257,different regions,different primers
8437.426088,0.022683085,different regions,different primers
2875.399953,0.011019284,USA,different primers
857.1258428,0.08605852,USA,different primers
857.1258428,0.063593005,USA,different primers
857.1258428,0.082733813,USA,different primers
857.1258428,0.051085568,USA,different primers
857.1258428,0.092369478,USA,different primers
857.1258428,0.119760479,USA,different primers
16950.7607,0.018303414,different regions,different primers
16950.7607,0.020258863,different regions,different primers
16901.90372,0.014330218,different regions,different primers
16673.98619,0.022443091,different regions,different primers
16942.35425,0.02027027,different regions,different primers
16786.96827,0.020633751,different regions,different primers
16895.34912,0.021347972,different regions,different primers
6814.017959,0.004796163,different regions,different primers
6814.017959,0.004784689,different regions,different primers
6814.153082,0.004415011,different regions,different primers
6814.017959,0.004464286,different regions,different primers
